,Unnamed: 0,timestamp,capacite,gid,horaires,id,last_update,last_update_fme,nb_tot_place_dispo,nom,p_surv,place_handi
9,9,2022-01-12 13:19:39+01:00,474,21,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",SOI,2022-01-12 13:17:00,2022-01-12 13:19:06,105.0,Parc Relais TCL Vaulx en Velin La Soie,True,10
10,10,2022-01-12 13:19:39+01:00,258,2,"Ouvert de 4h30 à 1h00, du lundi au dimanche",ALP,2022-01-12 01:31:18,2022-01-12 06:00:33,0.0,Parc Relais TCL Porte des Alpes,True,10
11,11,2022-01-12 13:19:39+01:00,294,105,En accès libre - Présence d'arceaux et consignes vélos,IRYV,2022-01-12 01:31:18,2022-01-12 06:00:33,,Parc Relais TCL Irigny-Yvours,False,7
12,12,2022-01-12 13:19:39+01:00,107,16,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Réservé aux abonnés PREMIUM",OULN,2022-01-12 01:31:18,2022-01-12 06:00:33,0.0,Parc Relais TCL Oullins La Saulaie Nord,True,2
13,13,2022-01-12 13:19:39+01:00,164,106,En accès libre - Présence de 10 arceaux et 20 consignes vélos,PORL,2022-01-12 01:31:18,2022-01-12 06:00:33,,Parc Relais TCL Porte de Lyon,False,3
14,14,2022-01-12 13:19:39+01:00,57,7,"Ouvert de 4h30 à 1h00, du lundi au dimanche",DECG,2022-01-12 13:17:00,2022-01-12 13:19:06,18.0,Parc Relais TCL Décines Grand Large,True,2
15,15,2022-01-12 13:19:39+01:00,521,22,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",VAI1,2022-01-12 13:17:00,2022-01-12 13:19:06,115.0,Parc Relais TCL Vaise 1,True,10
16,16,2022-01-12 13:19:39+01:00,80,5,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",CUI,2022-01-12 13:17:00,2022-01-12 13:19:06,6.0,Parc Relais TCL Cuire,False,2
17,17,2022-01-12 13:19:39+01:00,1252,14,"Ouvert de 4h30 à 1h00, du lundi au vendredi - Fermé les samedis, dimanches et jours fériés",MEYP,2022-01-12 13:17:00,2022-01-12 13:19:06,996.0,Parc Relais TCL Meyzieu les Panettes,True,27
18,18,2022-01-12 13:19:39+01:00,745,24,"Ouvert de 4h30 à 1h00 du lundi au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Fermé les dimanches et jours fériés",VEN,2022-01-12 01:31:18,2022-01-12 06:00:33,0.0,Parc Relais TCL Gare de Vénissieux,True,21
19,19,2022-01-12 13:19:39+01:00,306,17,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",OULS,2022-01-12 13:17:00,2022-01-12 13:19:06,7.0,Parc Relais TCL Oullins La Saulaie Sud,True,7
20,20,2022-01-12 13:19:39+01:00,80,8,En accès libre,FEY,2022-01-12 01:31:18,2022-01-12 06:00:33,-1.0,Parc Relais TCL Feyssine,True,0
21,21,2022-01-12 13:19:39+01:00,69,104,En accès libre,GREY,2022-01-12 01:31:18,2022-01-12 06:00:33,,Parc Relais TCL Grézieu la Varenne,False,2
0,0,2022-01-18 18:55:57+01:00,298,18,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",PAR,2022-01-18 18:52:00,2022-01-18 18:55:09,217.0,Parc Relais TCL Parilly,True,6
